metric,varying_factor,fixed_level,levels,case_ids,values,relative_to_first_level_percent,monotonic_classification,ascending_value_order_case_ids
branch2_pressure_max_Pa,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[16282926.805577042, 15787652.123519229, 15145878.565222561]","[0.0, -3.0416809457632454, -6.983070389808738]",nonincreasing,"[""S_L45_M450"", ""S_L40_M450"", ""S_L35_M450""]"
branch1_rope_tension_p95_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[828040.9829114014, 830652.0396268353, 829687.4351608676]","[0.0, 0.3153294063119111, 0.19883704833995827]",nonmonotonic,"[""S_L35_M200"", ""S_L35_M450"", ""S_L35_M325""]"
branch1_rope_tension_p95_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[837181.6185276537, 836348.3638455358, 837037.446040383]","[0.0, -0.09953093375167466, -0.01722117209457379]",nonmonotonic,"[""RAC"", ""S_L40_M450"", ""S_L40_M200""]"
branch1_rope_tension_p95_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[841237.6664186756, 840712.9058785427, 839621.8498055987]","[0.0, -0.06237958202310313, -0.1920761132767278]",nonincreasing,"[""S_L45_M450"", ""S_L45_M325"", ""S_L45_M200""]"
branch1_rope_tension_p95_N,soil_embedment_L_m,m=2.0,"[3.5, 4.0, 4.5]","[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]","[828040.9829114014, 837181.6185276537, 841237.6664186756]","[0.0, 1.1038868612654578, 1.5937234725839837]",nondecreasing,"[""S_L35_M200"", ""S_L40_M200"", ""S_L45_M200""]"
branch1_rope_tension_p95_N,soil_embedment_L_m,m=3.25,"[3.5, 4.0, 4.5]","[""S_L35_M325"", ""RAC"", ""S_L45_M325""]","[830652.0396268353, 836348.3638455358, 840712.9058785427]","[0.0, 0.6857653923608684, 1.2112010531181265]",nondecreasing,"[""S_L35_M325"", ""RAC"", ""S_L45_M325""]"
branch1_rope_tension_p95_N,soil_embedment_L_m,m=4.5,"[3.5, 4.0, 4.5]","[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]","[829687.4351608676, 837037.446040383, 839621.8498055987]","[0.0, 0.8858770867236566, 1.19736833700572]",nondecreasing,"[""S_L35_M450"", ""S_L40_M450"", ""S_L45_M450""]"
branch1_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=3.5,"[2.0, 3.25, 4.5]","[""S_L35_M200"", ""S_L35_M325"", ""S_L35_M450""]","[850843.6193404743, 850884.0328180266, 850861.9531063214]","[0.0, 0.004749812613472078, 0.0021547750292061994]",nonmonotonic,"[""S_L35_M200"", ""S_L35_M450"", ""S_L35_M325""]"
branch1_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=4.0,"[2.0, 3.25, 4.5]","[""S_L40_M200"", ""RAC"", ""S_L40_M450""]","[850853.3962598142, 850845.5854806274, 850828.4807969816]","[0.0, -0.0009179935369730236, -0.0029282909302674443]",nonincreasing,"[""S_L40_M450"", ""RAC"", ""S_L40_M200""]"
branch1_rope_tension_abs_peak_N,soil_m_MN_per_m4,L=4.5,"[2.0, 3.25, 4.5]","[""S_L45_M200"", ""S_L45_M325"", ""S_L45_M450""]","[850869.3485040995, 850882.8949730741, 850861.8676228239]","[0.0, 0.001592073918090082, -0.0008792044617380047]",nonmonotonic,"[""S_L45_M450"", ""S_L45_M200"", ""S_L45_M325""]"
