case_group,case_id,metric,value,RAC_value,change_percent,percent_unavailable_reason
load_decomposition,R0,branch2_rope_tension_p95_N,644674.3036372997,760518.5399030717,-15.232269851111901,
load_decomposition,R0,branch2_rope_tension_abs_peak_N,644674.3036641598,855135.6076777729,-24.611453683369223,
load_decomposition,R0,soil_x_displacement_rms_m,2.117897117056229e-11,0.08640864499491943,-99.99999997548976,
load_decomposition,R0,soil_x_displacement_abs_peak_m,5.708556640755309e-11,0.23833334670911777,-99.99999997604802,
load_decomposition,R0,soil_rotation_rms_rad,0.010839575031138245,0.023794465471623706,-54.444973584024936,
load_decomposition,R0,soil_rotation_abs_peak_rad,0.010839575047883755,0.070062974700602,-84.5288112670006,
load_decomposition,R0,soil_force_x_total_rms_N,1893890.5485479708,3211366.7482100907,-41.02540453831495,
load_decomposition,R0,soil_force_x_total_abs_peak_N,1893890.5517006777,12607581.521226423,-84.97816136653903,
load_decomposition,R0,soil_moment_total_rms_Nm,5681671.64594139,8440718.929406008,-32.68734934239516,
load_decomposition,R0,soil_moment_total_abs_peak_Nm,5681671.654590313,33179091.205775462,-82.87574659790167,
load_decomposition,R0,support_runtime_delta_x_force_rms_N,0.0003639731000428423,478427.42463583016,-99.99999992392303,
load_decomposition,R0,support_runtime_delta_x_force_abs_peak_N,0.001174368429929018,1711493.652641907,-99.99999993138343,
load_decomposition,R0,support_runtime_delta_pitch_moment_rms_Nm,2373867.918655288,282017297.5973248,-99.15825449755043,
load_decomposition,R0,support_runtime_delta_pitch_moment_abs_peak_Nm,2373868.0942879543,944032503.2381368,-99.74853958034863,
load_decomposition,R0,branch1_proxy_endstop_reaction_p95_N,,575878.0243323357,,RAC_denominator_zero_or_nonfinite
load_decomposition,R0,branch1_proxy_endstop_reaction_abs_peak_N,,881833.9660598005,,RAC_denominator_zero_or_nonfinite
load_decomposition,R0,branch2_proxy_endstop_reaction_p95_N,,930299.9482425514,,RAC_denominator_zero_or_nonfinite
load_decomposition,R0,branch2_proxy_endstop_reaction_abs_peak_N,,999002.7056897056,,RAC_denominator_zero_or_nonfinite
load_decomposition,RA,soil_energy_total_J,9729286.712151784,9754911.229495715,-0.2626832447890515,
load_decomposition,RA,soil_energy_source_interval_contribution_J,7806052.767989376,7857376.310705911,-0.653189317744727,
load_decomposition,RA,soil_energy_proxy_interval_contribution_J,818144.6026335488,810745.807542214,0.9125912243400024,
load_decomposition,RA,soil_energy_transition_interval_contribution_J,1105089.3415288061,1086789.111247614,1.6838805331959739,
load_decomposition,RA,source_frame_fraction,0.9725045825695717,0.9715047492084653,0.10291595197255016,
load_decomposition,RA,proxy_frame_fraction,0.027495417430428264,0.028495250791534744,-3.508771929824554,
